,user_id,ASIN,model_name,customer_name,Review_date,Reviews,Ratings,Sentiment_Score
0,AEWOUFCYNMHAOVU27GLBTETUANJQ,B07SDPTP6Q,"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage)",sanket yavalkar,2019-09-23,"Brought this phone for my wife who is die hard fan for oppo...Offer like 2000 extra off on exchange with Oppo is just like waww....So after exchange of her old oppo mobile I got this phone for just Rs.6800.... Best phone if u want oppo brand name and u are boared to ur old oppo phone... So this review is considering 6800 cost...Pros.1) good features considering cost 6800.2) Size matters 6.5 inch grt3) Speakers are good Dolby4) Comes with classic headphones with good looks and decent sound quality... No other phones now a days comes with headphones...5) Quad camera gives good quality photos...6) Selfie camera is also decent considering cost 68007) 5000mAh battery8) can be use as power bank for other phonesCons:1) Original cost 13990 is huge considering features...Other good brands like MI, VIVO, MOTO, etc sells 48MP camera phones for 12000 and so...2) Accessories like back cover, tempered glass are yet not in market... May be u have to wait for them...Though 1 transparent back cover is included in Mobile Box...This is all about this phone after 24hrs use....I will update if something comes...",5.0,1.3
1,AGGYOZ64YJTHOX5JJ3HIX45HTQ6Q,B07SDPTP6Q,"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage)",Pj,2019-09-22,"Best option for exchange, I got it in 9k ,Review score (out of 5)Design : 4.5 (finger print scanner position is bit high), other things like screen size, corners,back panel, camera position are perfect and it's light weight too...Sounds quality : 5/5 (unexpected, dual side stereo and Dolby is awesome, loudness, clarity and effects are far better then any other phone i.e. mi 7 pro, Lenovo, Samsung or honor)Photography : it's similar to other available options in market, day light as usual is very clear and crisp, didn't get time for more night photography, but few repetitive uploaded pics are in night mode with very minimal light which are good.Battery backup : best in this category (10% ~ 3 hours of heavy uses) , for heavy uses 30hours for normal uses it ll go up to 2 days.Performance : not played many games but seems good, while opening any game auto memory cleaner will run,lag and heat issue is not there (checked continuously 1.5 hours)Memory space : 46 GB free space, all basic apps are pre installed, separate as card slot is available (apart from 2 SIM slot), 1.86 GB ram available after all updation, while playing any game also 900 to 1 GB space is availablePros : apart from above mentioned points :1)Front cam is good like other similar phone (mi, real me, honor, Samsung)2) earphones quality/look is very good in this range.3) dual speaker position is in front top of display and near to charging pin, so stereo comes properly4)face detection is fast5)no heating issue while charging /YouTube /gaming6) battery is lasting for more than 4 days on normal usesCons:1) fingerprint scanner position is bit high2) ram 6 GB would have a perfect option3) macro photos are not that good compare to redmi 7 pro4) no fast charger with pack",5.0,1.4000000000000001
2,AEQZJNT7OMU4AD4TAQDZASBEO4KQ,B07SDPTP6Q,"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage)",Amit,2019-09-24,Good Phone With Exchange,5.0,3.3000000000000003
3,AGPTVBSB2A66CPW6PAH73KW7KUZQ,B07SDPTP6Q,"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage)",siddheshpatil,2019-10-11,Oppo makes very nice phone at this price range about quad cameras but we have another option to select Realme smartphones which is comparatively low budget and good cameras...But this phone I like mostly in battery back up with type C charger.. and also like camera clearity because I have already attached some snaps here from my Oppo A5 2020...Overall good performance of this phone and speaker was nice sounds which is have dual atmos..Thanks Oppo,4.0,2.9
4,AH4UDKG5WUEJPD6KB5DWSQWCRQHQ,B07SDPTP6Q,"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage)",Javed Shaikh,2019-09-25,Lowest speed ever seen in android and charger not support to battery. It will be 3 hours to take full charge,1.0,2.0
5,AEJZY4PP6XRUX6VKCWIVPX7K2GIA,B07SDPTP6Q,"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage)",Vishal kumar,2019-10-11,The first thing is slow charging of this mobile taking more than 3 hours for full charging.  My friend bought the same mobile but that was 4 gb ram and 64 gb rom in which he got hand free but my mobile was 3 gb ram and 64 rom in which they are not providing hand free. Why?,1.0,1.4000000000000001
6,AGL7FBR4NKXRPSZVEVHSAZDZ722A,B07SDPTP6Q,"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage)",akky,2019-10-23,Its Camera gives pictures .. like .keypad mobile who has vga camera very poor in camera u get redish images i have never seen such worst device it often get stuck in between apps .. evn u dnt have pubg like games in ur device still it get stuck in usual apps .. it is better to buy a keypad mobile .rather than oppo a5 2020 struggled a lot with this device .. finally got returned thank god ... I truely suggest u people out there . Do not waste your money in buying this device,1.0,1.3
7,AE4DJK3LNRVWAK3JSVZ465ZJPDIA,B07SDPTP6Q,"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage)",Tabassum,2019-10-04,Pros- Phone looks actually good  Good battery lifeCons- phone is too heavy  Camera performance not upto the  mark.Go for MI A3 if u don't want the cons,2.0,2.0
8,AEQCRRUSCSHV4SQ4FDSYR5NVZR3Q,B086977TR6,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage)",Arpit,2020-08-01,Dont buy.. after 10 to.15 mins gaming phone lagging too much,1.0,1.5
9,AFZBRYPQXOV4X7MQLCP3IB3ONQTQ,B086977TR6,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage)",Ujjwal,2020-08-02,Good phoneDecent look and looks stylishCamera and battery quality are super goodGood phone in this range 👍But delivery service is not good,5.0,2.8000000000000003
